                                    repo,                                   commit, notebooks, language, version
         yotamsch/Social_Networks_CS3076, b41173edc394b634307dfe99c7d1cb0366bd1841,         2,    python,   3.6.5
                    paulo-m-costa/Ec160a, f76b7632d9512d4e9a1405604160c882eba213fa,         3,    python,   3.5.2
            wisefool769/TwentyFourSolver, 04f2073b6b3581887a6d335bbf55c38803ebf937,         1,    python,  2.7.12
              yingchen858/openface_study, 54c1a5ecf75f6d6b4a0e6e82acc295b9264aad51,         1,    python,  2.7.13
clarkzzz/dataquest_guided_project_Analyzing-Thanksgiving-Dinner, aa3bf964f4939b48893d00f24c56adbfb50892cf,         1,    python,   3.4.3
        jay-thakur/Pixers-Roller-Coaster, 4fe7065dcb5665080b14e1b44c4da35333730aeb,         1,    python,   3.6.2
           amoha39/Clustering-Assignment, ae74278761d173992842c6fbb7f89353638b803b,         1,    python,  2.7.12
                      Vasuji/tut-phy2054, e67214dcee5a348ad6a8093431518df755ae527b,         1,    python,   3.5.2
                 shaido987/novel-dataset, eaeb94789b508e00ee94ac0491c27cdaedc7dac0,         1,    python,   3.5.2
               swabelo/Python-Code-Notes, 0510b93ae597dd69bea1c370801657cd400fa665,         1,    python,  2.7.13
       danaesavi/artificial_intelligence, b03c5e2fb1cf0cdf1fc71af0ece207e7102c1875,         1,    python,  2.7.10
                   aegorenkov/babypandas, ef976d04fab2648251a63ae349617d47856ae047,         1,    python,  2.7.11
              paulozip/naufragio-titanic, 83bfb2c09a35d4df1299f2d1945a1d24f6a60e7e,         1,    python,   3.5.2
                    Lotfull/Economics-HW, 8974d8ff30275a083b6307dedd2678f58a5911c4,         1,    python,   3.6.0
     takluyver/cern-jupyter-presentation, 82903d45792724a1ee9ba53c26930dc34faec206,         1,    python,   3.4.3
              Namkolla/Nearest_Neighbors, 4e44da567102c7de56ee72e9434e57a73c97f469,         1,    python,   3.6.1
                  ynyeh0221/Bloom-filter, 5d65edef936d51464903ff25aa0b3bfb180d3328,         1,    python,  2.7.11
    SamuelJLeonard/finite_mixture_models, cb3ef744e4deaa4536b22af5c20603a409bace3b,         1,    python,   3.6.0
             darkingwing/network_visuals, 5b95f39c21f84abe33f9df3537bc029f80722f5c,         1,    python,   3.6.0
SiddharthAgarwal-01/Movie-Recommendation-System, 09fa5a3afb114210c3abdfc02b807086c16d3dba,         1,    python,   3.6.2
                  jsudufour/30days-of-ml, caebe09273075c464d06fd3841ac5d9177bbe3b1,         1,    python,   3.5.4
        aaashisharora72/Titanic-Survival, 424881317c52a47175d57c18166cc4bd325a52a3,         1,    python,   3.6.3
                    burmistrovm/neuronet, 62c3540dd65a760d3c0cfcc7cbd32e3734b70d22,         1,    python,  2.7.13
            sundarkota/DS-Assignment_2.2, be1f06fbb416b2646fe0852349c3190fa4ed2fac,         1,    python,   3.6.4
                         johnyout/parser, b757ce4aad9842b06e164eb47a5c71f9c5dfdd54,         1,    python,   3.6.3
             VanessaSayuri/Probabilidade, 94d321bff66b5d54ba264e72295dd766de9edf3e,         1,    python,   3.6.4
   bauhuasbadguy/Homebrew-neural-network, a3399327e5309a903187cdf81d9566ef1602157e,         1,    python,   3.5.2
